
Dynamics(dim=3, f(x)=<callable>, g(x)=<callable>)
V network: ValueNetwork(
  input_dim=3,
  hidden=[64, 64],
  output_dim=1,
  activation=builtin_function_or_method,
  input_scale=[6.0, 6.0, 6.0],
  scale_factor=20.0
)

Using device: cpu

================================================================================
PRE-TRAINING: Constraint-Structured Initialization (Sample-Based)
================================================================================
  GV (Φ) pre-training ENABLED (using provided GV_net)
  Epoch [0/15000]: V=6193.936523 (full=0.000, init=6193.937, unsafe=0.000, goal=0.000, others=0.000), Φ=1147.352539, Total=7.34133e+03
  Epoch [100/15000]: V=5383.562012 (full=0.000, init=5383.562, unsafe=0.000, goal=0.000, others=0.000), Φ=5.476527, Total=5.38910e+03
  Epoch [200/15000]: V=4343.375977 (full=0.000, init=4343.376, unsafe=0.000, goal=0.000, others=0.000), Φ=0.179701, Total=4.34363e+03
  Epoch [300/15000]: V=4211.002930 (full=0.000, init=4211.003, unsafe=0.000, goal=0.000, others=0.000), Φ=1.035931, Total=4.21214e+03
  Epoch [400/15000]: V=4033.969971 (full=0.000, init=3877.893, unsafe=156.077, goal=0.000, others=0.000), Φ=1.624615, Total=4.03571e+03
  Epoch [500/15000]: V=3953.203369 (full=0.000, init=3918.501, unsafe=34.703, goal=0.000, others=0.000), Φ=3.664256, Total=3.95700e+03
  Epoch [600/15000]: V=3898.588623 (full=0.000, init=3848.947, unsafe=49.642, goal=0.000, others=0.000), Φ=3.800441, Total=3.90254e+03
  Epoch [700/15000]: V=3666.637939 (full=0.000, init=3458.058, unsafe=208.580, goal=0.000, others=0.000), Φ=6.412217, Total=3.67325e+03
  Epoch [800/15000]: V=673.154236 (full=0.000, init=22.859, unsafe=650.296, goal=0.000, others=0.000), Φ=21.559526, Total=6.95179e+02
  Epoch [900/15000]: V=109.746307 (full=0.000, init=10.534, unsafe=99.096, goal=0.116, others=0.000), Φ=2.992670, Total=1.13232e+02
  Epoch [1000/15000]: V=9.703094 (full=0.000, init=0.492, unsafe=9.211, goal=0.000, others=0.000), Φ=9.097672, Total=1.92507e+01
  Epoch [1100/15000]: V=0.848612 (full=0.000, init=0.000, unsafe=0.823, goal=0.025, others=0.000), Φ=1.565489, Total=2.85917e+00
  Epoch [1200/15000]: V=0.420947 (full=0.000, init=0.002, unsafe=0.419, goal=0.000, others=0.000), Φ=0.091329, Total=9.42114e-01
  Epoch [1300/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=4.29621e-01
  Epoch [1400/15000]: V=0.008707 (full=0.000, init=0.000, unsafe=0.009, goal=0.000, others=0.000), Φ=0.000000, Total=4.38058e-01
  Epoch [1500/15000]: V=0.050697 (full=0.000, init=0.037, unsafe=0.014, goal=0.000, others=0.000), Φ=0.000000, Total=4.79697e-01
  Epoch [1600/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=4.28619e-01
  Epoch [1700/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=4.28314e-01
  Epoch [1800/15000]: V=0.008666 (full=0.000, init=0.009, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=4.36579e-01
  Epoch [1900/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=4.27430e-01
  Epoch [2000/15000]: V=0.001048 (full=0.000, init=0.001, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=4.28065e-01
  Epoch [2100/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=4.26525e-01
  Epoch [2200/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=4.26006e-01
  Epoch [2300/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=4.25512e-01
  Epoch [2400/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=4.25010e-01
  Epoch [2500/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=4.24421e-01
  Epoch [2600/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=4.23775e-01
  Epoch [2700/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=4.23101e-01
  Epoch [2800/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=4.22445e-01
  Epoch [2900/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=4.21697e-01
  Epoch [3000/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=4.20895e-01
  Epoch [3100/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=4.20160e-01
  Epoch [3200/15000]: V=0.000000 (full=0.000, init=0.000, unsafe=0.000, goal=0.000, others=0.000), Φ=0.000000, Total=4.19292e-01
